name,url,location,price,partof,tags,ticketsonsale,ongoing,when,src
Princess and the Frog,https://www.universityplaceorem.com/events/movie-night-2/,Orem,vendors,University Place,"outdoor,movie",,,2018-07-05,https://www.universityplaceorem.com/events/
Trivia Night,https://www.universityplaceorem.com/events/trivia-night-11/,Orem,vendors,University Place,"indoor,sitting",,,2018-07-10,https://www.universityplaceorem.com/events/
Singing in the Rain,https://www.universityplaceorem.com/events/movie-night-3/,Orem,vendors,University Place,"outdoor,movie,music",,,2018-07-12,https://www.universityplaceorem.com/events/
Saturday in the Park,https://www.universityplaceorem.com/events/saturday-in-the-park-3/,Orem,vendors,University Place,"outdoor,sitting,active,baby-friendly",,,2018-07-14,https://www.universityplaceorem.com/events/
Family Fun: Beach Party,https://www.universityplaceorem.com/events/family-fun-night-beach-party/,Orem,vendors,University Place,"outdoor,baby-friendly,music,sitting",,,2018-07-16,https://www.universityplaceorem.com/events/
The Goonies,https://www.universityplaceorem.com/events/movie-night-4/,Orem,vendors,University Place,"outdoor,movie",,,2018-07-19,https://www.universityplaceorem.com/events/
Twilight Dancing,https://www.universityplaceorem.com/events/twilight-dancing-3/,Orem,vendors,University Place,"outdoor,dance",,,2018-07-20,https://www.universityplaceorem.com/events/
Coco,https://www.universityplaceorem.com/events/movie-night-5/,Orem,vendors,University Place,"outdoor,movie",,,2018-07-26,https://www.universityplaceorem.com/events/
Family Fun: UP Rodeo,https://www.universityplaceorem.com/events/family-fun-night-u-p-rodeo/,Orem,vendors,University Place,"outdoor,active,baby-friendly",,,2018-08-13,https://www.universityplaceorem.com/events/
Singing Competition,https://www.universityplaceorem.com/events/summer-sounds-at-u-p/,Orem,vendors,University Place,"outdoor,music",,,2018-08-24,https://www.universityplaceorem.com/events/
Twilight Dancing,https://www.universityplaceorem.com/events/twilight-dancing-4/,Orem,vendors,University Place,"outdoor,dance",,,2018-08-31,https://www.universityplaceorem.com/events/
Twilight Dancing,https://www.universityplaceorem.com/events/twilight-dancing-5/,Orem,vendors,University Place,"outdoor,dance",,,2018-09-21,https://www.universityplaceorem.com/events/
